Category,Variable,Fire,Months_Before_Fire,Mean_Value
SPEI3,SPEI3,PALISADES,-22,1.2990000000000004
SPEI3,SPEI3,PALISADES,-23,1.3990000000000002
SPEI3,SPEI3,PALISADES,-24,0.9856666666666668
SPEI3,SPEI3,PALISADES,-25,0.8993333333333337
SPEI3,SPEI3,PALISADES,-26,0.3380000000000003
SPEI3,SPEI3,PALISADES,-27,0.0393333333333336
SPEI3,SPEI3,PALISADES,-28,-0.7483333333333331
SPEI3,SPEI3,PALISADES,-29,-1.2866666666666662
SPEI3,SPEI3,EATON,0,-1.644
SPEI3,SPEI3,EATON,-1,-1.474
SPEI3,SPEI3,EATON,-2,-1.5056666666666665
SPEI3,SPEI3,EATON,-3,-1.4496666666666669
SPEI3,SPEI3,EATON,-4,-1.4786666666666666
SPEI3,SPEI3,EATON,-5,-1.3363333333333334
SPEI3,SPEI3,EATON,-6,-0.769
SPEI3,SPEI3,EATON,-7,0.0126666666666666
SPEI3,SPEI3,EATON,-8,0.8969999999999999
SPEI3,SPEI3,EATON,-9,1.2096666666666664
SPEI3,SPEI3,EATON,-10,1.3756666666666666
SPEI3,SPEI3,EATON,-11,0.7766666666666667
SPEI3,SPEI3,EATON,-12,0.2343333333333333
SPEI3,SPEI3,EATON,-13,-0.0863333333333333
SPEI3,SPEI3,EATON,-14,0.871
SPEI3,SPEI3,EATON,-15,2.318
SPEI3,SPEI3,EATON,-16,4.021333333333334
SPEI3,SPEI3,EATON,-17,3.4696666666666665
SPEI3,SPEI3,EATON,-18,2.467333333333333
SPEI3,SPEI3,EATON,-19,1.0673333333333332
SPEI3,SPEI3,EATON,-20,1.1413333333333333
SPEI3,SPEI3,EATON,-21,1.4396666666666669
SPEI3,SPEI3,EATON,-22,1.3403333333333334
SPEI3,SPEI3,EATON,-23,1.5086666666666666
SPEI3,SPEI3,EATON,-24,1.1663333333333334
SPEI3,SPEI3,EATON,-25,1.2293333333333334
SPEI3,SPEI3,EATON,-26,0.81
SPEI3,SPEI3,EATON,-27,0.5646666666666667
SPEI3,SPEI3,EATON,-28,-0.2456666666666666
SPEI3,SPEI3,EATON,-29,-0.937
SM1,SM1,PALISADES,0,-2.4872761676
