Variable,Region,Lag (months),Mean_Value
LFMC_LFMC,FOR,-3,-0.7232940028074073
LFMC_LFMC,FOR,-4,-0.6491920770481482
LFMC_LFMC,FOR,-5,-0.4673097346703703
LFMC_LFMC,FOR,-6,-0.2810515778
LFMC_LFMC,FOR,-7,-0.2620707303333333
LFMC_LFMC,FOR,-8,-0.2491429570814814
LFMC_LFMC,FOR,-9,-0.5982483683037036
LFMC_LFMC,FOR,-10,-0.6433243319777778
LFMC_LFMC,FOR,-11,-0.4286149154703703
LFMC_LFMC,FOR,-12,0.1232263299777778
LFMC_LFMC,FOR,-13,0.1936329626629629
LFMC_LFMC,FOR,-14,0.1370531114555555
LFMC_LFMC,FOR,-15,0.1359603831111111
LFMC_LFMC,FOR,-16,0.1119530740814814
LFMC_LFMC,FOR,-17,-0.0194319563814814
LFMC_LFMC,FOR,-18,-0.2021593942851851
LFMC_LFMC,FOR,-19,-0.1741377411814814
LFMC_LFMC,FOR,-20,-0.4001833246148148
LFMC_LFMC,FOR,-21,-0.486052793662963
LFMC_LFMC,FOR,-22,-0.3495768438481482
LFMC_LFMC,FOR,-23,0.0369129589666666
LFMC_LFMC,FOR,-24,0.3030135416555555
LFMC_LFMC,FOR,-25,0.3340751337703703
LFMC_LFMC,FOR,-26,0.3103166926851852
LFMC_LFMC,FOR,-27,0.1848348835703703
LFMC_LFMC,FOR,-28,0.0973402664296296
LFMC_LFMC,FOR,-29,0.0827999031703703
LFMC_LFMC,FOR,-30,0.1782011004185185
LFMC_LFMC,ALL,0,-0.4168314652333334
LFMC_LFMC,ALL,-1,-0.3709869168722222
LFMC_LFMC,ALL,-2,-0.3718658510037037
LFMC_LFMC,ALL,-3,-0.3508661255851852
LFMC_LFMC,ALL,-4,-0.2587650440629629
LFMC_LFMC,ALL,-5,-0.2338682004388889
LFMC_LFMC,ALL,-6,-0.1597073984259259
LFMC_LFMC,ALL,-7,-0.1510636673259259
LFMC_LFMC,ALL,-8,-0.0280451609944443
LFMC_LFMC,ALL,-9,-0.242974904762963
LFMC_LFMC,ALL,-10,-0.1872472624685185
LFMC_LFMC,ALL,-11,0.0075458434944444
LFMC_LFMC,ALL,-12,0.3952852237592592
LFMC_LFMC,ALL,-13,0.4022343625481481
LFMC_LFMC,ALL,-14,0.3518829383518518
LFMC_LFMC,ALL,-15,0.4365865144925925
LFMC_LFMC,ALL,-16,0.5129052516240741
LFMC_LFMC,ALL,-17,0.4521445486092592
LFMC_LFMC,ALL,-18,0.3288818536092593
LFMC_LFMC,ALL,-19,0.3258065558703704
LFMC_LFMC,ALL,-20,0.2220560231925925
LFMC_LFMC,ALL,-21,0.0662379460925926
LFMC_LFMC,ALL,-22,0.0861157757722221
LFMC_LFMC,ALL,-23,0.1601715085407407
LFMC_LFMC,ALL,-24,0.3118788016055556
LFMC_LFMC,ALL,-25,0.2480814852296296
LFMC_LFMC,ALL,-26,0.2390704731907407
LFMC_LFMC,ALL,-27,0.1145095382759259
LFMC_LFMC,ALL,-28,0.0633221815796296
LFMC_LFMC,ALL,-29,-0.012686591174074
